company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url,Company Website,Booth: 3C-B28   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-E20   |   World of Fine Dining   |   ,Booth: 3C-B06   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-C36   |   Cook & Dine   |   ,Booth: 3E-B19   |   World of Fine Dining   |   ,Booth: 3D-D01   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3D-E02   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3E-E12   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-D08   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-A14   |   World of Fine Dining   |   ,Booth: 5E-L25   |   Cultural and Creative Avenue   |   ,"Booth: 3E-S008, 5E-E05   |   hktdc.com Showcase Zone, Homepedia   |   ","Booth: 5E-A16   |   Outdoor, Camping & Gardening   |   Cantonese Business Go Global",Booth: 5E-C02   |   Health & Wellness   |   Cantonese Business Go Global
"Zhejiang Jiemei Umbrella Co., Ltd.",Chinese Mainland,,Manufacturer,Umbrella,Umbrella,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong International Optical Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Jiemei-Umbrella-Co-Ltd-/1X09YTE7,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LT9G,,,,,,,,,,,,,,,
"Zhejiang Ruyi Industry Co., Ltd.",Chinese Mainland,,Manufacturer,Baby Play Mat,Wooden Toys,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2022 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Toys & Games Fair 2018 Show More,,ISO9001 Issued By - Type ISO_9001 Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Ruyi-Industry-Co-Ltd-/1X005Y7Z,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTHS,,,,,,,,,,,,,,,
"Ningbo Fomo Household Products Co., Ltd.",Chinese Mainland,,"Manufacturer, Exporter","Photo Frame,Picture Frame","Whiteboard, photo frame, seal","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/NINGBO-FOMO-HOUSEHOLD-PRODUCTS-CO-LTD-/1S00P12Y4,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005M5GJ,,,,,,,,,,,,,,,
"Ningbo Kun-Guang Stationery Co., Ltd.",Chinese Mainland,,Manufacturer,Stationery,"Solid watercolor paint, watercolour","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2018,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/NINGBO-KUN-GUANG-STATIONERY-CO-LTD/1X0ACWRL,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005M5L4,,,,,,,,,,,,,,,
Ningbo Praise Stationery Co Ltd,Chinese Mainland,,Manufacturer,"Storage Box,Storage Rack",Office storage box,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2017 HKTDC Hong Kong International Stationary Fair 2010,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Praise-Stationery-Co-Ltd/1X0518HV,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005M5PS,,,,,,,,,,,,,,,
"Shaoxing Heybei Automotive Co., Ltd.",Chinese Mainland,,Manufacturer,Cleaning Appliance,"CAR AIR COMPRESSOR, CAR VACUUM CLEANER","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Heybei-Automotive-Co-Ltd-/1S00OO93I,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LU20,,,,,,,,,,,,,,,
Shaoxing Lotus Umbrella Company Limited,Chinese Mainland,,Manufacturer,Umbrella,Umbrella,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong International Optical Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Lotus-Umbrella-Co-Ltd/1X0ACCGK,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTBA,,,,,,,,,,,,,,,
"Taizhou Biumart E-Tech Co., Ltd.",Chinese Mainland,,Manufacturer,Decorative Lamp,Night light,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Biumart-E-Tech-Co-Ltd-/1S00OUBEJ,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTKJ,,,,,,,,,,,,,,,
"Taizhou Guangjia Crafts Co., Ltd.",Chinese Mainland,,Manufacturer,Halloween Supply,Holiday Gifts,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Guangjia-Crafts-Co-Ltd/1S00ON3A3,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTLG,,,,,,,,,,,,,,,
"Zhejiang Huangyan Donghai Handicraft Co., Ltd",Chinese Mainland,,"Exporter, Manufacturer","Decorative Lamp,Christmas Supply","Wooden decorations; Christmas, Halloween, Easter, Valentine's Day and other festive decoration gifts","OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 Home InStyle 2024 Home InStyle 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Huangyan-Donghai-Handicraft-Co-Ltd/1S00OBS08,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MOXL,,,,,,,,,,,,,,,
Koopman International Hong Kong Limited,Hong Kong,,Exporter,"Ceramic Crafts, Painting & Print, Bathroom Accessories, Storage Box, Wine Glass, Kitchen Utensil, Pet Toy, Laundry Bag, Stationery, Tableware",HOUSEHOLD PRODUCTS,Others,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025 Home InStyle 2024 Home InStyle 2023 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong Houseware Fair 2017,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Koopman-International-Hong-Kong-Limited/1X09Y5K1,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005HS7N,,,,,,,,,,,,,,,
"Fujian Shaowu Bamboo Cube Brand Operation Co., Ltd",Chinese Mainland,,"Exporter, Statutory Body, Service Company, Manufacturer, Distributor","Hanger,Chair,Hotel & Clubhouse Furniture,Bedroom Furniture,Wood Crafts,Picture Frame,Wall Decoration & Hangings",Bamboo products,"OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fujian-Shaowu-Bamboo-Cube-Brand-Operation-Co-Ltd/1S00P11L8,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LYVH,,,,,,,,,,,,,,,
Longquan Economic and Commercial Bureau,Chinese Mainland,,Manufacturer,"Tea Set,Ceramic Crafts",Gift,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Longquan-Economic-and-Commercial-Bureau/1S00P1LOF,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MOYI,,,,,,,,,,,,,,,
"Zhangjiajie Chidu Culture And Art Co., Ltd",Chinese Mainland,,Manufacturer,"Knitting Crafts,Fabric Crafts,Fabric Decoration,Art & Collectibles,Wall Decoration & Hangings","Tujia brocade is the handicraft honored with the National Intangible Cultural Heritage list,it is with 3,000 years history,Tujia brocade is the origin of the texture, and also the wordless epic of the ancient Tujia minority people.","Others, OEM, OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhangjiajie-Chidu-Culture-And-Art-Co-Ltd/1S00P0H2D,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LFCL,,,,,,,,,,,,,,,
Homede Design And Production Company Limited,Hong Kong    |    Factory in Vietnam,"We have been designing and producing home decor for over 20 years. Homede believes your home is an extension of who you are and wants to create products designed for living. We aim to create ranges that inspire, are sophisticated, and are on trend while constantly innovating to minimize our environmental impact. We hope you love our product as much as we do!",Trade/Industrial Organisation,"Bathroom Accessories,Home Storage & Organisation",Bathroom accessories and storage baskets,"Others, OEM","Bioliving,Greehome",,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Homede-Design-and-Production-Company-Limited/1S00OWRTU,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005HBSD,,,,,,,,,,,,,,,
ATTA Technologies Limited,Hong Kong    |    Factory in Chinese Mainland,"ATTA Technologies, a sports tech company, was founded to revolutionize the world of sports through technology. We aim to empower players and enthusiasts with cutting-edge AI-driven motion detection technology solutions that revolutionize sports training and touchless gaming entertainment. Using movement analytics and data, we help players enhance and monitor performance and experience the new in immersive and inclusive sports training and entertainment experiences.",Others,Fitness Product,"The Progress Tracker is a PE and sports training system combined with ATTA's proprietary AI system that collects, analyses, and quantifies sports activity into data and insights with performance metrics and videos.",OBM,"Progress Tracker 數據教練,Touchless-Shots",,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Atta-Technologies-Limited/1S00P283J,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MVKH,,,,,,,,,,,,,,,
Qilu craftsman rhyme,Chinese Mainland,,"Trade/Industrial Organisation, Buying Cooperative, Wholesaler, Shopping Mall","Dried Flower,Candlestick Holder,Paper Crafts,Candle,Picture Frame,Knitting Crafts,Painting & Print,Art & Collectibles,Wall Decoration & Hangings,Home Fragrance",Wenchuang ornaments,"ODM, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2019,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zibo-Dawning-Trading-Co-Ltd-/1S00NMQ7P,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MDEH,,,,,,,,,,,,,,,
"Taizhou Huangyan Haipu Industry Co., Ltd",Chinese Mainland,,Manufacturer,Spice Container,Plastic products,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Huangyan-Haipu-Industry-Co-Ltd/1S00P0ZGP,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTP4,,,,,,,,,,,,,,,
"Taizhou Huangyan Pengxin Plastic Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer",Cup,Plastic sports bottle and plastic household items,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Huangyan-Pengxin-Plastic-Co-Ltd/1S00OPI53,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MTXG,,,,,,,,,,,,,,,
"Taizhou Xinpai Plastic & Mould Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter","Kitchen Utensil,Food Container","Kitchenware, outdoors goods","OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Xinpai-Plastic-Mould-Co-Ltd/1S00P1LML,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MOVR,,,,,,,,,,,,,,,
BNET-TECH Company Limited,Hong Kong    |    Factory in Chinese Mainland,"BNET-TECH Company Limited uses the fall-detect patented smart walking cane STICKu as the starting point. To increase the safety and mobility of the elderly and reduce the risk of falls by using innovative technology and shorten the distance between the elderly and family. In addition to walking assistance, after pairing it with a smartphone, STICKu features fall alert, emergency alert, incoming call vibration, and a smart torch. Every product and service we offer aims to meet three targets: Simple, Easy, and Convenient!","Distributor, Import Agent, Wholesaler","Personal Care Product,Elderly Care","STICKu is a multi-functional smart walking stick that not only provides walking assistance but also offers a range of advanced features. Additionally, STICKu can be connected to its mobile application to provide users with comprehensive services.",OEM,"STICKu,Care Bathing Tool – switle BODY",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2025 Home InStyle 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Lifestyle ShoppingFest 2021 SmartBiz Expo 2019 HKTDC Hong Kong International Medical and Healthcare Fair 2019 HKTDC International ICT Expo 2019 SmartBiz Expo 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bnet-Tech-Company-Limited/1X0AWUUO,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L1A5,,,,,,,,,,,,,,,
Dai3mimi Health-Tech Limited,Hong Kong    |    Factory in Chinese Mainland,"Dai3mimi Health-Tech Limited, based in Hong Kong, is a leading technology company specializing in hearing health innovation. We proudly introduce Dai3mimi, an award-winning hearing aid that revolutionizes sound delivery to the inner ear. It utilizes patented acoustic technology, combining advanced metal and plastic materials for direct skull conduction. This method bypasses the outer, middle ear, and eardrum, areas vulnerable to infection and damage, making it more effective than traditional aids for many users.",Manufacturer,"Consumer Electronics,Elderly Care","Unlike conventional hearing aids that amplify sound through the ear canal, Dai3mimi uses a vibrotactile module to transmit sound vibrations directly to the inner ear.",OBM,Dai3mimi,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 InnoEX 2025 InnoEX 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dai3mimi-Health-Tech-Limited/1S00OO0QU,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L14N,,,,,,,,,,,,,,,
"JKL i-Healthcare Co., Ltd.",Hong Kong    |    Factory in Chinese Mainland,,"Buying Cooperative, Government, Statutory Body, Service Company, Charity / Welfare Organisation, Buying Office",Elderly Care,"We offer innovative solutions for healthcare professionals to deliver quality customer services in their workplace Specialized in Medical Equipment, Medical Consumables, and Sensors Technology The air bag can be folded and reused (about10-15 times",Others,,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/JKL-I-HEALTHCARE-COMPANY-LIMITED/1S00OZJKT,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L1M5,,,,,,,,,,,,,,,
NEC Hong Kong Limited,Hong Kong    |    Factory in Hong Kong,"NEC Hong Kong Limited (NECHK), established in 1984, is a wholly owned subsidiary of NEC Corporation. NECHK has been rapidly expanding its activities to meet growing customer demands in Hong Kong, Macau and mainland China. As a leading information and communications technology provider, NECHK provides innovative solutions and infrastructure to promote safety, security and enhance the quality of life for individuals and the community. NECHK's expertise includes solutions for biometric identification, smart city, artificial intelligence, public safety, smart aviation solutions, smart transportation solutions, enterprise applications and infrastructure. With a comprehensive range of technical experts and resources. With our extensive products and services, we continuously deliver business value to customers globally. NECHK offers professional tailored solutions to meet the dynamic needs of customers in various industries. NECHK is the one-stop answer for innovative technological excellence.",Others,Elderly Care,"NEC Home Based Aged Care Solution is an innovative all-in-one solution that provides Companionship Services, Safety and Health Monitoring and Smart Home Assistant for the elderly to improve the quality of life by personalized home based care.",OBM,NEC,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 InnoEX 2024 HKTDC International ICT Expo 2022 HKTDC International ICT Expo 2019 HKTDC International ICT Expo 2018 HKTDC Hong Kong International Medical Devices and Supplies Fair 2014,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/NEC-Hong-Kong-Limited/1X0ADGWS,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L17E,,,,,,,,,,,,,,,
Science International Corporation,"Hong Kong    |    Factory in Korea, Republic Of",,Export Agent,"Fitness Product,Oral Care,Personal Care Product",Dr. Pik is a newly developed oral healthcare device to remove plaque and food debris between teeth in an innovative way. Dr. Pik has a silicone mouthpiece connected to water flow tubes from the body of the product. Teeth are cleaned by high-pressure,Others,Dr Pik Vacuum Oral Care Device,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 HKTDC Hong Kong International Medical Devices and Supplies Fair 2009,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Science-International-Corporation/1X04VEN7,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L1L8,,,,,,,,,,,,,,,
Taschen Hong Kong Limited,Hong Kong,"TASCHEN is a leading art-book publisher known for its dazzling and audacious world of eye-catching coffee table books spanning architecture, aphrodisia, art, design, fashion, photography, pop culture, style, and travel.",Buying Office,Design Services & Brand Strategy,"TASCHEN is a leading art-book publisher known for its dazzling and audacious world of eye-catching coffee table books spanning architecture, aphrodisia, art, design, fashion, photography, pop culture, style, and travel.",OBM,TASCHEN,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2025 Home InStyle 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taschen-Hong-Kong-Limited/1X06I0ME,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MRUR,,,,,,,,,,,,,,,
Wheelchair88.com Limited,Hong Kong    |    Factory in Taiwan,,"Distributor, Department Store",,"Our capabilities include R&D, sourcing parts, mold making, welding, CNC, surface treatments, etc. Before starting this company, I had more than a decade of experience in product manufacturing.",Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2025 Home InStyle 2025 HKTDC Beauty & Wellness Expo 2023 HKTDC Beauty & Wellness Expo 2022 HKTDC Beauty & Wellness Expo 2021 HKTDC Lifestyle ShoppingFest 2021 HKTDC Beauty & Wellness Expo 2019 HKTDC Hong Kong International Medical and Healthcare Fair 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wheelchair88-com-Limited/1X0AR40O,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MO0C,,,,,,,,,,,,,,,
